,rescode,hhsize,age16m,age16f,under16
365,27115,5.0,2.0,2.0,0.0
366,27139,5.0,1.0,2.0,2.0
367,27145,7.0,2.0,2.0,3.0
368,27144,7.0,3.0,1.0,3.0
369,27117,3.0,0.0,1.0,2.0
370,27134,7.0,1.0,3.0,3.0
371,27138,5.0,3.0,1.0,1.0
372,27146,4.0,1.0,1.0,2.0
373,27101,4.0,1.0,2.0,1.0
374,27104,6.0,2.0,3.0,1.0
375,27133,4.0,1.0,1.0,2.0
376,27143,5.0,0.0,1.0,4.0
377,27137,2.0,0.0,1.0,1.0
378,27121,5.0,2.0,3.0,0.0
379,27140,5.0,1.0,2.0,3.0
380,27126,7.0,2.0,2.0,3.0
381,27130,6.0,1.0,1.0,4.0
382,27106,5.0,0.0,2.0,3.0
383,27132,5.0,2.0,3.0,1.0
384,27136,4.0,1.0,1.0,2.0
385,27135,4.0,1.0,1.0,2.0
386,27142,4.0,1.0,1.0,2.0
387,27120,6.0,3.0,2.0,1.0
388,27129,5.0,1.0,1.0,4.0
389,28113,5.0,1.0,4.0,0.0
390,28215,8.0,1.0,4.0,3.0
391,28213,7.0,3.0,3.0,1.0
392,28201,5.0,1.0,1.0,3.0
393,28212,2.0,1.0,1.0,0.0
394,28105,4.0,1.0,1.0,2.0
395,28106,3.0,1.0,1.0,1.0
396,28214,4.0,2.0,2.0,0.0
397,28112,6.0,3.0,2.0,1.0
398,28116,8.0,3.0,5.0,0.0
399,28101,8.0,3.0,4.0,1.0
400,28111,3.0,1.0,1.0,1.0
401,28109,4.0,0.0,2.0,2.0
402,28209,4.0,1.0,1.0,2.0
403,28108,4.0,0.0,2.0,2.0
404,28205,6.0,3.0,2.0,1.0
405,28207,3.0,0.0,1.0,2.0
406,28107,8.0,1.0,3.0,4.0
407,28208,4.0,0.0,4.0,0.0
408,28117,4.0,0.0,2.0,2.0
409,28202,9.0,6.0,2.0,1.0
410,28115,7.0,2.0,2.0,3.0
411,28210,6.0,3.0,1.0,2.0
412,28203,3.0,2.0,1.0,0.0
413,28114,2.0,0.0,1.0,1.0
414,28104,6.0,2.0,4.0,0.0
415,28204,6.0,2.0,3.0,1.0
416,28217,6.0,2.0,2.0,2.0
417,28216,6.0,2.0,2.0,2.0
418,28103,10.0,3.0,5.0,2.0
419,29124,5.0,2.0,1.0,2.0
420,29108,4.0,2.0,1.0,1.0
421,29212,6.0,2.0,3.0,1.0
422,29203,5.0,2.0,1.0,2.0
423,29107,4.0,1.0,1.0,2.0
424,29118,8.0,4.0,3.0,1.0
425,29119,4.0,2.0,1.0,1.0
426,29122,4.0,1.0,1.0,2.0
427,29217,4.0,1.0,1.0,2.0
428,29115,6.0,1.0,3.0,2.0
429,29211,4.0,1.0,1.0,2.0
430,29116,7.0,1.0,2.0,4.0
431,29222,5.0,1.0,1.0,3.0
432,29121,2.0,1.0,1.0,0.0
433,29216,4.0,0.0,2.0,2.0
434,29120,7.0,2.0,1.0,4.0
435,29206,6.0,1.0,1.0,4.0
436,29102,4.0,1.0,1.0,2.0
437,29226,5.0,2.0,2.0,1.0
438,29219,5.0,2.0,2.0,1.0
439,29117,11.0,7.0,3.0,1.0
440,29123,6.0,0.0,2.0,4.0
441,29202,4.0,1.0,1.0,2.0
442,29111,4.0,0.0,3.0,1.0
443,29103,3.0,1.0,1.0,1.0
